Date, Signal(dBm), Noise(dBm), Channel, Security, Band
2014-08-09 20:51:29 +0000, pause
2014-08-09 20:51:27 +0000, -56, -85, 5, WPA2 Personal, b/g
2014-08-09 20:51:22 +0000, -60, -91, 5, WPA2 Personal, b/g
2014-08-09 20:51:17 +0000, -59, -90, 5, WPA2 Personal, b/g
2014-08-09 20:51:12 +0000, -53, -87, 5, WPA2 Personal, b/g
2014-08-09 20:51:07 +0000, -53, -87, 5, WPA2 Personal, b/g
2014-08-09 20:51:02 +0000, -58, -81, 5, WPA2 Personal, b/g
2014-08-09 20:50:57 +0000, -55, -91, 5, WPA2 Personal, b/g
2014-08-09 20:50:52 +0000, -54, -73, 5, WPA2 Personal, b/g
2014-08-09 20:50:47 +0000, -54, -82, 5, WPA2 Personal, b/g
2014-08-09 20:50:42 +0000, -55, -82, 5, WPA2 Personal, b/g
2014-08-09 20:50:37 +0000, -54, -72, 5, WPA2 Personal, b/g
2014-08-09 20:50:32 +0000, -53, -84, 5, WPA2 Personal, b/g
2014-08-09 20:50:27 +0000, -54, -92, 5, WPA2 Personal, b/g
2014-08-09 20:50:22 +0000, -56, -85, 5, WPA2 Personal, b/g
2014-08-09 20:50:17 +0000, -48, -76, 5, WPA2 Personal, b/g
2014-08-09 20:50:13 +0000, -56, -92, 5, WPA2 Personal, b/g
2014-08-09 20:50:10 +0000, start
