Date, Signal(dBm), Noise(dBm), Channel, Security, Band
2014-08-09 20:51:29 +0000, pause
2014-08-09 20:51:27 +0000, -53, -87, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:51:22 +0000, -55, -87, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:51:17 +0000, -55, -91, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:51:12 +0000, -70, -92, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:51:07 +0000, -49, -92, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:51:02 +0000, -55, -92, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:57 +0000, -57, -92, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:52 +0000, -52, -84, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:47 +0000, -58, -87, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:42 +0000, -58, -87, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:37 +0000, -49, -92, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:32 +0000, -57, -87, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:27 +0000, -57, -85, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:22 +0000, -54, -81, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:17 +0000, -53, -84, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:13 +0000, -58, -88, 1, WPA/WPA2 Personal, b/g/n
2014-08-09 20:50:10 +0000, start
