Date, Signal(dBm), Noise(dBm), Channel, Security, Band
2014-06-12 23:01:35 +0000, pause
2014-06-12 23:01:33 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:28 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:23 +0000, -58, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:18 +0000, -57, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:13 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:08 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:01:03 +0000, -58, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:58 +0000, -58, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:53 +0000, -58, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:48 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:43 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:38 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:33 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:28 +0000, -62, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:23 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:18 +0000, -85, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:13 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:08 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 23:00:03 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:58 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:53 +0000, -65, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:48 +0000, -65, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:43 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:38 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:33 +0000, -59, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:28 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:23 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:18 +0000, -61, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:13 +0000, -63, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:59:08 +0000, -, -, -, -, -
2014-06-12 22:59:03 +0000, -65, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:58:58 +0000, -65, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:58:53 +0000, -65, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:58:48 +0000, -60, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:58:43 +0000, -60, -92, 1, WPA2 Personal, b/g/n
2014-06-12 22:58:40 +0000, start
